Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2020-12-28,2615.97412109375,2637.1913618949034,2541.602108601287,2599.6703465833903,13463509,2020-12-28
2021-01-04,2788.07958984375,2794.4225159165862,2627.319936617159,2635.404866353558,24238184,2021-01-04
2021-01-11,2888.53759765625,2924.8524932643963,2787.632692227274,2885.5447627501526,27755532,2021-01-11
2021-01-18,2956.464599609375,2978.7066480040194,2852.906269102827,2908.936957601827,16421092,2021-01-18
2021-01-25,2784.837646484375,2989.3135184989696,2774.6786549686954,2961.700903185906,13589146,2021-01-25
2021-02-01,2826.54736328125,2898.062603187883,2724.6451772934292,2774.6788143112585,13796945,2021-02-01
2021-02-08,2855.949951171875,2905.1781211952966,2824.0410153083712,2854.7863325400626,11256612,2021-02-08
2021-02-15,2749.482666015625,2872.239723538578,2699.627784873394,2872.239723538578,17659986,2021-02-15
2021-02-22,2590.565185546875,2771.0982548960346,2577.7658185079395,2771.0982548960346,22751300,2021-02-22
2021-03-01,2692.3779296875,2758.075067003589,2597.2780641979807,2618.93841338667,17202643,2021-03-01
2021-03-08,2737.041259765625,2789.8944531188436,2678.1018497361315,2699.493638308127,9937617,2021-03-08
2021-03-15,2730.104736328125,2823.9068195532454,2673.5819344635806,2721.8702498451407,21263161,2021-03-15
2021-03-22,2744.962646484375,2836.437488004128,2701.865492637366,2728.7620167814016,15211879,2021-03-22
2021-03-29,2832.857421875,2877.610303737164,2739.6818344300013,2744.9628056016954,12509153,2021-03-29
2021-04-05,2973.605224609375,3002.336662069258,2820.3266047841494,2838.2277574644677,15589939,2021-04-05
2021-04-12,2859.843505859375,2987.792178134783,2750.5570924466892,2973.6054262655784,21733841,2021-04-12
2021-04-19,2783.181640625,2886.874152238278,2766.6678714106597,2836.4375684645843,9425288,2021-04-19
2021-04-26,2717.08154296875,2826.0102287845893,2703.0739787978496,2776.513499309902,10294414,2021-04-26
2021-05-03,2804.1259765625,2828.2479546354916,2688.753134848638,2707.4597520073557,9180108,2021-05-03
2021-05-10,2731.26806640625,2832.1410068359683,2720.974904759954,2815.806206832064,8575271,2021-05-10
2021-05-17,2757.224609375,2796.159610351404,2717.394550904886,2734.400643285384,10989634,2021-05-17
2021-05-24,2813.703125,2880.0715578355266,2749.616914201146,2758.119961299099,13141112,2021-05-24
2021-05-31,2827.601318359375,2851.5263986619757,2801.7425389071823,2833.2227921533304,8388084,2021-05-31
2021-06-07,2944.572509765625,2976.232601102876,2818.4716740597423,2828.72515275568,12172081,2021-06-07
2021-06-14,2965.710205078125,3020.3059233847293,2924.5610103208733,2949.250483257453,10441741,2021-06-14
2021-06-21,3040.812744140625,3057.766978040191,2924.6954888894606,2936.6580295278145,11184426,2021-06-21
2021-06-28,2991.02880859375,3050.43658851969,2963.820874994245,3050.43658851969,7218290,2021-06-28
2021-07-05,2885.524658203125,3034.6961623160983,2879.093780549446,3005.914218867931,15623866,2021-07-05
2021-07-12,2873.517822265625,2910.574536976858,2855.7089477445993,2909.6751010878043,9235338,2021-07-12
2021-07-19,2896.058837890625,2921.928936000391,2844.949356665629,2866.447803216971,8044530,2021-07-19
